"Borough","Measurement","Postcode","Latitude","Longitude","Address","School.Name","Jan.Ave","Feb.Ave","Mar.Ave","Apr.Ave","May.Ave","Jun.Ave","Jul.Ave","Aug.Ave","Sep.Ave","Oct.Ave","Nov.Ave","Dec.Ave"
"Manhattan","Electricity Demand (KW)",10034,40.867826,-73.917059,"512 West 212th St ","Shorac Kappock School",170.5,161,150,156.5,146,78.67,123.5,158.5,166.5,174.5,174,173.5
"Manhattan","Electricity Usage (KWH)",10034,40.867826,-73.917059,"512 West 212th St ","Shorac Kappock School",55400,46100,49100,51300,32866.67,26600,35850,60500,54650,60050,57650,58400
"Manhattan","Gas (Therms)",10034,40.867826,-73.917059,"512 West 212th St ","Shorac Kappock School",9003.5,4195,1169.25,316,126.67,106.67,253.5,1889,6506,13385.25,15654.5,13877.75
"Manhattan","Total Usage (mmBTUs)",10034,40.867826,-73.917059,"512 West 212th St ","Shorac Kappock School",1089.43,576.84,284.5,206.69,124.84,101.45,147.7,395.38,837.12,1543.47,1762.21,1587.09
"Manhattan","Electricity Demand (KW)",10029,40.788952,-73.944538,"232 East 103rd St ","Roberto Clemente School",131.2,138.4,136.4,167.6,150.93,139.73,157.6,142.8,134.4,134.8,134.4,134.4
"Manhattan","Electricity Usage (KWH)",10029,40.788952,-73.944538,"232 East 103rd St ","Roberto Clemente School",47080,41440,42600,50000,51200,54026.67,52200,47920,47520,52440,48160,50240
"Manhattan","Gas (Therms)",10029,40.788952,-73.944538,"232 East 103rd St ","Roberto Clemente School",3439.75,2307.5,1023.5,164.5,173.33,84.33,73.25,969.5,3946.75,5333.5,6232.25,6096.75
"Manhattan","Total Usage (mmBTUs)",10029,40.788952,-73.944538,"232 East 103rd St ","Roberto Clemente School",504.66,372.18,247.74,187.1,192.07,192.82,185.48,260.5,556.86,712.33,787.59,781.14
"Manhattan","Electricity Demand (KW)",10040,40.855954,-73.927051,"549 Audubon Ave ","George Washington High School?",661,588,642,688,592,526.67,654,669,619,667,684,672
"Manhattan","Electricity Usage (KWH)",10040,40.855954,-73.927051,"549 Audubon Ave ","George Washington High School?",239000,177600,184600,220700,226266.67,198266.67,208200,204100,223500,283900,280400,269800
"Manhattan","Gas (Therms)",10040,40.855954,-73.927051,"549 Audubon Ave ","George Washington High School?",428,350.5,243.25,106.75,70,52,110,157.25,312.75,480.75,502,488.75
"Manhattan","Total Usage (mmBTUs)",10040,40.855954,-73.927051,"549 Audubon Ave ","George Washington High School?",858.5,641.19,654.36,763.92,779.24,681.88,721.58,712.31,794.07,1017.02,1007.2,969.69
